Filename,High School,Bachelor,Master,Ethnicity
cv_67.pdf,HTL Waidhofen an der Ybbs,Universität Wien - Musikwissenschaft,Technische Universität Wien - Physik,Yoruba
cv_68.pdf,"BG BRG und BORG Hartberg, Hartberg",Master:,Projects:,Coptic
cv_69.pdf,Bundeshandelsakademie und Bundeshandelsschule - Schule,Master:,Projects: Konzeption und Durchführung klinischer Studien für ein neues,Scandinavian
cv_70.pdf,"Wirtschaftskundliches BRG Graz Sandgasse, Graz",Universität Graz - Earth Sciences,Projects: Optimierung des Vertriebsprozesses durch Einführung eines,Uyghur
cv_71.pdf,Bundeshandelsakademie und Bundeshandelsschule Graz,Master:,Projects: Implementierung eines Learning Management Systems (LMS) für,Punjabi
cv_72.pdf,Bundeshandelsakademie und Bundeshandelsschule Wien,Master:,Projects: Entwicklung und Implementierung einer unternehmensweiten,Tibetan
cv_73.pdf,"BRG Graz Petersgasse, Graz",Master:,Projects:,Quechua
cv_74.pdf,HTL Innviertel-Nord Andorf,Master:,Projects: Durchführung einer Machbarkeitsstudie für eine neue,Celtic
cv_75.pdf,"BRG und BORG St Pölten Schulring, St. Pölten",Universität Salzburg - Philosophie,Projects: Einführung eines Machine Learning Algorithmus zur Optimierung,Druze
cv_76.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Aufbau einer Cloud-basierten Infrastruktur zur Steigerung der,Serbian
cv_77.pdf,Bundeshandelsakademie und Bundeshandelsschule Liezen,Universität Salzburg - Kunstgeschichte,Universität Wien - Biologie,Xhosa
cv_78.pdf,Bundeshandelsakademie und Bundeshandelsschule,FH Campus Wien - High Tech Manufacturing,Universität Wien - Ernährungswissenschaften,Dutch
cv_79.pdf,IT-HTL Ybbs,FH Technikum Wien - Urban Renewable Energy Technologies,Universität Wien - Archäologie,Greek
cv_80.pdf,"Haydn-Gymnasium, Wien",Universität Graz - Chemie,Universität Wien - Romanistik,Hausa
cv_81.pdf,HTL Mistelbach,Universität Salzburg - Mathematik,Universität Wien - Philosophie,Rohingya
cv_82.pdf,Bundeshandelsakademie und Bundeshandelsschule -,Master:,Projects: Konzeption und Umsetzung eines Corporate Volunteering,Spanish
cv_83.pdf,Bundeshandelsakademie und Bundeshandelsschule Wels,FH Joanneum - Informationsmanagement,"Projects: Entwicklung und Umsetzung einer Influencer-Marketing-Strategie,",Portuguese
cv_84.pdf,HTL Baden Malerschule Leesdorf,Universität Innsbruck - Architektur,Projects: Durchführung einer umfassenden Kostenanalyse und,Yoruba
cv_85.pdf,Vienna Business School - Handelsakademie und,Universität Innsbruck - Architektur,Universität Wien - Romanistik,Russian
cv_86.pdf,"BG und BORG Graz-Liebenau, Graz",FH Joanneum - Bank- und Versicherungswirtschaft,Universität Wien - Philosophie,Somali
cv_87.pdf,HTL Mistelbach,FH Technikum Wien - Sports Equipment Technology,Universität Wien - Wirtschaftswissenschaften,Druze
cv_88.pdf,HBLFA Wieselburg (Francisco-Josephinum),Master:,Projects: Konzeption und Durchführung eines,Scandinavian
cv_89.pdf,Bundeshandelsakademie und Bundeshandelsschule -,FH Oberösterreich - Medical Engineering,Projects: Konzeption und Durchführung eines,Rohingya
cv_90.pdf,"BRG und BORG St Pölten Schulring, St. Pölten",Universität Wien - Chemie,Projects: Implementation eines neuen Customer Relationship Management,Hmong
cv_91.pdf,HTBLuVA Villach,Universität Wien - Klassische Philologie,Technische Universität Wien - Mathematik,Afro-Latin American
cv_92.pdf,"BG/BRG und HLW Köflach, Köflach",Universität Salzburg - Chemie und Physik der Materialien,Universität Wien - Anthropologie,Albanian
cv_93.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Innsbruck - Architektur,Universität Wien - Ägyptologie,Punjabi
cv_94.pdf,"BORG Ternitz Schulcampus Dr. Heinz Fischer, Ternitz",BOKU University (Universität für Bodenkultur Wien) -,Projects: Durchführung einer Machbarkeitsstudie für eine neue,Burmese
cv_95.pdf,HTBLuVA Wiener Neustadt,Master:,Projects: Entwicklung und Implementierung einer unternehmensweiten,Greek
cv_96.pdf,HTBLuVA Ferlach,Master:,Projects:,Portuguese
cv_97.pdf,"Vienna Business School - Handelsakademie III,",Master:,Projects: Entwicklung einer mobilen App zur Verbesserung der internen,Kazakh
cv_98.pdf,"BG und BRG Graz Seebachergasse, Graz",Master:,Projects: Entwicklung und Implementierung einer unternehmensweiten,Zulu
cv_99.pdf,"BG Wiener Neustradt Babenbergerring, Wiener Neustadt",Technische Universität Wien - Mathematik,Universität Wien - Biologie,Roma
cv_100.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Durchführung einer unternehmensweiten Mitarbeiterbefragung,Kikuyu
cv_101.pdf,HTL Mistelbach,Master:,Projects: Durchführung eines Projekts zur Reduzierung des,Hungarian
cv_102.pdf,"BG und BRG Graz Klusemannstraße, Graz",Universität Wien - Mathematik,Technische Universität Wien - Mathematik,Greek
cv_103.pdf,"BRG Waidhofen an der Ybbs, Waidhofen an der Ybbs",FH Oberösterreich - Process Engineering and Production,Universität Wien - Translationswissenschaft,Tahitian
cv_104.pdf,"Bundesgymnasium Maroltingergasse, Wien-Ottakring",Universität Graz - Informatik,Universität Wien - Astronomie,Greek
cv_105.pdf,HTBLuVA Ferlach,Master:,Projects: Konzeption und Durchführung eines,Fulani
cv_106.pdf,HTL Wolfsberg,Master:,Projects: Implementierung eines digitalen Onboarding-Prozesses für neue,Coptic
cv_107.pdf,HTBLuVA Wiener Neustadt,FH Technikum Wien - Telecommunications and Internet,Technische Universität Wien - Bauingenieurwesen,Amazonian Indigenous Peoples
cv_108.pdf,HTL Karlstein,Technische Universität Wien - Wirtschaftsinformatik,Universität Wien - Altertumswissenschaften,Russian
cv_109.pdf,Vienna Business School - Handelsakademie und,Universität Wien - Musikwissenschaft,Universität Wien - Geographie,Roma
cv_110.pdf,"BG Wiener Neustradt Babenbergerring, Wiener Neustadt",Universität Innsbruck - Wirtschaftswissenschaften,Projects: Entwicklung und Implementierung eines,Igbo
cv_111.pdf,Vienna Business School - Handelsakademie und,FH Oberösterreich - Global Sales and Marketing,Universität Wien - Altertumswissenschaften,Navajo
cv_112.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Implementierung eines neuen Buchhaltungssystems zur,Rohingya
cv_113.pdf,"BG und BRG Graz Seebachergasse, Graz",Universität Salzburg - Politikwissenschaft,Technische Universität Wien - Maschinenbau,Roma
cv_114.pdf,HTL Innviertel-Nord Andorf,Master:,Projects: Durchführung eines Projekts zur Verbesserung der,Basque
cv_115.pdf,"BG und BRG Graz Klusemannstraße, Graz",Universität Graz - Informatik,Universität Wien - Astronomie,Roma
cv_116.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Wien - Biologie,Universität Wien - Astronomie,Korean
cv_117.pdf,Vienna Business School - Handelsakademie und,Universität Salzburg - Kommunikationswissenschaft,Projects: Erstellung eines Finanzmodells zur Bewertung von,Igbo
cv_118.pdf,Zweisprachige Bundeshandelsakademie Klagenfurt,Master:,Projects: Konzeption und Umsetzung eines Corporate Volunteering,Turkish
cv_119.pdf,"BG Wiener Neustradt Babenbergerring, Wiener Neustadt",Universität Wien - Slawistik,Projects: Implementation eines neuen Customer Relationship Management,Xhosa
cv_120.pdf,HTL Bau und Design Linz,FH Wiener Neustadt - Informatik,Projects:,Uyghur
cv_121.pdf,HTL für Lebensmitteltechnologie Hollabrunn,FH Wiener Neustadt - Agrartechnologie & Digital Farming,Universität Wien - Japanologie,German
cv_122.pdf,"BRG Graz Körösistraße, Graz",Technische Universität Wien - Wirtschaftsinformatik,Universität Wien - Translationswissenschaft,Baloch
cv_123.pdf,Bundeshandelsakademie und Bundeshandelsschule - Schule,Master:,Projects: Implementierung eines CSR-Reportingsystems nach,Punjabi
cv_124.pdf,Bundeshandelsakademie und Bundeshandelsschule,FH Wiener Neustadt - Informatik,Universität Wien - Sprachwissenschaft,Mongol
cv_125.pdf,BORG und Bundeshandelsschule für Leistsungssportler St.,Universität Wien - Kunstgeschichte,Universität Wien - Anglistik,Arab
cv_126.pdf,"BG und BRG Graz Carnerigasse, Graz",Universität Graz - Molekularbiologie,Universität Wien - Anthropologie,Tuareg
cv_127.pdf,HTL Wolfsberg,Universität Wien - Anglistik,Universität Wien - Anthropologie,Hausa
cv_128.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Innsbruck - Psychologie,Universität Wien - Wirtschaftswissenschaften,Jewish
cv_129.pdf,HTL Bau und Design Linz,Universität Wien - Europäische Ethnologie,Universität Wien - Physik,Serbian
cv_130.pdf,"BG/BRG und HLW Köflach, Köflach",Master:,Projects: Implementierung eines unternehmensweiten Enterprise Resource,Uyghur
cv_131.pdf,HTL Steyr,FH Joanneum - Advanced Electronic Engineering,Technische Universität Wien - Physik,Fulani
cv_132.pdf,"BG und BRG Graz Carnerigasse, Graz",FH Technikum Wien - Business Informatics,Universität Wien - Informatik,Vietnamese
cv_133.pdf,"BG und BRG Waidhofen an der Thaya, Waidhofen an der",Master:,Projects:,Métis
cv_134.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Graz - Soziologie,Universität Wien - Rechtswissenschaften,Xhosa
cv_135.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Wien - Geographie,Projects: Entwicklung und Implementierung einer unternehmensweiten,Roma
cv_136.pdf,Bundeshandelsakademie und Bundeshandelsschule St.,Universität Salzburg - Sportwissenschaft,Universität Wien - Philosophie,Hungarian
cv_137.pdf,HTBLuVA Mödling,FH Oberösterreich - Mobile Computing,Universität Wien - Politikwissenschaft,Shona
cv_138.pdf,HTBLuVA Ferlach,Master:,Projects: Entwicklung einer mobilen App zur Verbesserung der internen,Roma
cv_139.pdf,Bundeshandelsakademie und Bundeshandelsschule Wörgl,BOKU University (Universität für Bodenkultur Wien) -,Projects:,Druze
cv_140.pdf,"BG Wiener Neustradt Babenbergerring, Wiener Neustadt",Master:,Projects: Einführung eines leistungsbasierten Vergütungssystems,Vietnamese
cv_141.pdf,BORG und Bundeshandelsschule für Leistsungssportler St.,Universität Salzburg - Lehramt,Technische Universität Wien - Mathematik,Rohingya
cv_142.pdf,"HTL Mössingerstraße, Klagenfurt",Universität Graz - Molekularbiologie,Universität Wien - Sprachwissenschaft,Russian
cv_143.pdf,Bundeshandelsakademie und Bundeshandelsschule Traun,Master:,Projects: Konzeption und Umsetzung eines Programms zur Förderung der,Basque
cv_144.pdf,Bundeshandelsakademie und Bundeshandelsschule - Schule,FH Joanneum - Journalismus und Public Relations,Technische Universität Wien - Informatik,Jewish
cv_145.pdf,HTL Innviertel-Nord Andorf,Universität Wien - Theaterwissenschaft,Technische Universität Wien - Architektur,Bengali
cv_146.pdf,Vienna Business School - Handelsakademie und,Universität Wien - Physik,Universität Wien - Deutsche Philologie,Berber
cv_147.pdf,Bundeshandelsakademie und Bundeshandelsschule - IBC,Universität Graz - Sprachwissenschaft,Universität Wien - Archäologie,Vietnamese
cv_148.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Aufbau einer Cloud-basierten Infrastruktur zur Steigerung der,Berber
cv_149.pdf,"Vienna Business School - Handelsakademie III,",FH Campus Wien - Angewandte Elektronik,Universität Wien - Kunstgeschichte,Greek
cv_150.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Salzburg - Geoinformatik,Universität Wien - Musikwissenschaft,Malay
cv_151.pdf,Bundeshandelsakademie und Bundeshandelsschule Traun,Master:,Projects: Aufbau einer Cloud-basierten Infrastruktur zur Steigerung der,Serbian
cv_152.pdf,HTL Baden Malerschule Leesdorf,Master:,Projects: Implementierung eines neuen Buchhaltungssystems zur,Burmese
cv_153.pdf,"BRG Graz Petersgasse, Graz",Technische Universität Wien - Architektur,Technische Universität Wien,Xhosa
cv_154.pdf,"BRG und BORG St Pölten Schulring, St. Pölten",Master:,Projects: Implementierung eines CSR-Reportingsystems nach,Finnish
cv_155.pdf,"BG und BRG Waidhofen an der Thaya, Waidhofen an der",Universität Salzburg - Molekulare Biologie,Universität Wien - Theaterwissenschaft,Greek
cv_156.pdf,HTBLuVA Villach,FH Technikum Wien - Information and Cyber Security,Projects: Implementierung eines digitalen Onboarding-Prozesses für neue,Amazonian Indigenous Peoples
cv_157.pdf,"BG Graz Pestalozzistraße, Graz",BOKU University (Universität für Bodenkultur Wien) - Umwelt-,Universität Wien - Biologie,French
cv_158.pdf,HTL Wels,Master:,Projects:,Spanish
cv_159.pdf,HTBLuVA Villach,Master:,Projects:,Quechua
cv_160.pdf,"Sigmund Freud Gymnasium, Wien",Universität Wien - Politikwissenschaft,Universität Wien - Europäische Ethnologie,Uyghur
cv_161.pdf,Bundeshandelsakademie und Bundeshandelsschule - IBC,Master:,Projects: Implementierung eines neuen Buchhaltungssystems zur,German
cv_162.pdf,Bundeshandelsakademie und Bundeshandelsschule Steyr,BOKU University (Universität für Bodenkultur Wien) - Umwelt-,Universität Wien - Archäologie,Tibetan
cv_163.pdf,"BG/BRG und HLW Köflach, Köflach",Universität Salzburg - Geoinformatik,Universität Wien - Anglistik,Tamil
cv_164.pdf,HTL Wels,Universität Salzburg - Wirtschaftswissenschaften,Projects: Optimierung des Vertriebsprozesses durch Einführung eines,Polish
cv_165.pdf,"BG Graz Pestalozzistraße, Graz",Master:,"Projects: Entwicklung und Umsetzung einer Influencer-Marketing-Strategie,",Bengali
cv_166.pdf,HBLFA Wieselburg (Francisco-Josephinum),Technische Universität Wien - Elektrotechnik,Universität Wien - Translationswissenschaft,Punjabi
cv_167.pdf,Bundeshandelsakademie und Bundeshandelsschule,FH Technikum Wien - AI Engineering,Universität Wien - Ägyptologie,Japanese
cv_168.pdf,Bundeshandelsakademie und Bundeshandelsschule,Technische Universität Wien - Wirtschaftsinformatik,Technische Universität Wien - Technische Chemie,Ewe
cv_169.pdf,HTL Bau und Design Linz,FH Wiener Neustadt - Allgemeine Gesundheits- und,Universität Wien - Kunstgeschichte,Fulani
cv_170.pdf,"BG und BRG Graz Carnerigasse, Graz",Master:,Projects: Entwicklung und Umsetzung einer Influencer-Marketing-Strategie,Xhosa
cv_171.pdf,"Wirtschaftskundliches BRG Graz Sandgasse, Graz",Universität Graz - Erziehungs- und Bildungswissenschaft,Universität Wien - Ernährungswissenschaften,Chuvash
cv_172.pdf,Bundeshandelsakademie und Bundeshandelsschule I,Universität Salzburg - Molekulare Biologie,Technische Universität Wien - Informatik,Kurdish
cv_173.pdf,Bundeshandelsakademie und Bundeshandelsschule - Schule,FH Oberösterreich - Automotive Computing,Universität Wien - Sprachwissenschaft,Dutch
cv_174.pdf,"BG und BRG Graz Klusemannstraße, Graz",Universität Graz - Pharmazie,Projects: Implementierung eines unternehmensweiten Enterprise Resource,Berber
cv_175.pdf,"BG und BRG Graz Seebachergasse, Graz",Master:,Projects: Entwicklung und Implementierung einer unternehmensweiten,Samoan
cv_176.pdf,HTL Steyr,FH Wiener Neustadt - Agrartechnologie & Digital Farming,Projects: Aufbau einer Cloud-basierten Infrastruktur zur Steigerung der,Spanish
cv_177.pdf,Bundeshandelsakademie und Bundeshandelsschule Steyr,Universität Wien - Sprachwissenschaft,Projects: Optimierung des Vertriebsprozesses durch Einführung eines,Hungarian
cv_178.pdf,"Wiedner Gymnasium, Wien",Master:,Projects: Konzeption und Umsetzung eines Corporate Volunteering,French
cv_179.pdf,"BRG Waidhofen an der Ybbs, Waidhofen an der Ybbs",Universität Innsbruck - Informatik,Technische Universität Wien - Physik,Kikuyu
cv_180.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Konzeption und Durchführung einer erfolgreichen,Afro-Latin American
cv_181.pdf,Bundeshandelsakademie und Bundeshandelsschule -,Universität Salzburg - Geschichte,Universität Wien - Slawistik,Amhara
cv_182.pdf,HTL Wolfsberg,Master:,Projects: Implementierung eines unternehmensweiten Enterprise Resource,Turkish
cv_183.pdf,"BG und BRG Graz Oeverseegasse, Graz",Technische Universität Wien - Architektur,Universität Wien - Anthropologie,Hausa
cv_184.pdf,"BG BRG und BORG Hartberg, Hartberg",Technische Universität Wien - Architektur,Universität Wien - Anglistik,Tamil
cv_185.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Durchführung eines Projekts zur Reduzierung des,Finnish
cv_186.pdf,"Bundesgymnasium Maroltingergasse, Wien-Ottakring",Master:,Projects: Einführung eines Machine Learning Algorithmus zur Optimierung,Russian
cv_187.pdf,HTBL Krems,FH Campus Wien - Nachhaltiges Ressourcenmanagement,Technische Universität Wien,Portuguese
cv_188.pdf,HTL Karlstein,Universität Wien - Afrikawissenschaften,Projects: Entwicklung und Implementierung einer unternehmensweiten,Italian
cv_189.pdf,"Sigmund Freud Gymnasium, Wien",FH Campus Wien - Technical Management,Projects: Konzeption und Umsetzung eines Corporate Volunteering,Hmong
cv_190.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Innsbruck - Soziologie,Technische Universität Wien,Samoan
cv_191.pdf,HTL Waidhofen an der Ybbs,FH Wiener Neustadt - Logopädie,Projects: Entwicklung einer mobilen App zur Verbesserung der internen,Korean
cv_192.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Innsbruck - Rechtswissenschaften,Technische Universität Wien - Physik,Berber
cv_193.pdf,HTBLuVA St. Pölten,FH Joanneum - Soziale Arbeit,Universität Wien - Afrikawissenschaften,Ashanti
cv_194.pdf,Zweisprachige Bundeshandelsakademie Klagenfurt,Universität Wien - Japanologie,Universität Wien - Romanistik,Oromo
cv_195.pdf,"Wirtschaftskundliches BRG Graz Sandgasse, Graz",Master:,Projects: Durchführung einer Machbarkeitsstudie für eine neue,Cherokee
cv_196.pdf,HTBLuVA Ferlach,Universität Wien - Rechtswissenschaften,Universität Wien - Rechtswissenschaften,Scandinavian
cv_197.pdf,"BG und BRG Waidhofen an der Thaya, Waidhofen an der",FH Technikum Wien - Information and Cyber Security,Universität Wien - Anglistik,Hungarian
cv_198.pdf,Bundeshandelsakademie und Bundeshandelsschule Graz,FH Wiener Neustadt - Allgemeine Gesundheits- und,"Projects: Entwicklung und Umsetzung einer Diversity & Inclusion Strategie,",Druze
cv_199.pdf,"BG und BORG Graz-Liebenau, Graz",Universität Innsbruck - Psychologie,Technische Universität Wien,Burmese
cv_200.pdf,"BG und BRG Waidhofen an der Thaya, Waidhofen an der",Universität Wien - Philosophie,Universität Wien - Translationswissenschaft,Celtic
cv_201.pdf,Zweisprachige Bundeshandelsakademie Klagenfurt,Universität Salzburg - Kommunikationswissenschaft,"Projects: Entwicklung eines chatbotbasierten Kundenservice-Systems,",Métis
